wavelength,AF_CsPbI3,AF_FA0.25Cs0.75PbI3,AF_FA0.5Cs0.5PbI3,AF_FA0.75Cs0.25PbI3,AF_FAPbI3,TF_Cs0.25FA0.75PbI3,TF_Cs0.5FA0.5PbI3,TF_Cs0.75FA0.25PbI3,TF_CsPbI3_avg,TF_CsPbI3_black phase,TF_CsPbI3_yellow phase,TF_FAPbI3
458.35,769.760594,814.577206,706.5881,622.2246,526.869954,527.9042,1125.872,1155.7433,901.0036,519.0,1364.0,1513.8427
460.39,850.644384,854.4222739999999,725.9762,618.281312,522.947544,525.6291,1144.473,1175.0502,916.3247,489.0,1440.0,1539.941
462.43,931.6256079999999,893.7800579999999,749.29285,616.652436,519.835752,523.46295,1158.3911,1187.5537,926.0561,531.0,1468.0,1562.0969
464.47,1007.780718,932.8181119999999,773.4881,615.654886,516.6117019999999,521.3809,1169.3912,1196.2834,933.6726,535.0,1456.0,1582.0433
466.51,1076.1279900000002,966.995146,795.11426,613.6335799999999,514.433138,520.0988,1177.7183,1202.0228,937.83527,520.0,1476.0,1599.3633
468.55,1133.9958920000001,996.4848679999999,809.4857,611.851968,511.544434,516.466,1179.798,1200.1722,937.2312,510.0,1463.0,1606.0696
470.59,1182.3727,1022.7356459999999,821.63574,608.876524,507.11053200000003,515.2033,1180.8665,1197.9447,935.1555,506.0,1479.0,1615.3973
472.64,1228.30838,1049.73022,839.55237,609.4671099999999,506.95457,513.79456,1183.332,1197.3004,934.9321,521.0,1469.0,1621.758
474.68,1262.73436,1067.79489,850.65955,608.613628,505.022624,511.97162,1181.4976,1192.9025,931.17303,504.0,1593.0,1623.3649
476.73,1292.0169600000002,1086.88508,864.7476,605.5756779999999,502.74102400000004,509.7947,1180.4954,1188.0093,927.4728,475.0,1528.0,1625.4727
478.78,1330.96806,1110.48544,880.1905,609.322392,504.82627599999995,511.47412,1186.5538,1191.6482,929.6171,508.0,1535.0,1634.0629
480.82,1386.61096,1151.569328,911.51904,621.57338,512.722084,520.35785,1209.2999,1212.0994,944.8411,506.0,1533.0,1665.4965
482.87,1525.9079399999998,1264.70478,988.90955,670.091528,547.271388,560.27014,1302.5795,1304.2352,1014.4428,529.0,1681.0,1784.4247
484.92,1762.916,1458.22018,1113.9619,758.197408,608.343222,633.89966,1477.726,1478.957,1146.9465,589.0,1831.0,2003.0896
486.96,1918.7485800000002,1581.4521,1202.531,810.116812,649.5224099999999,682.16296,1590.297,1592.9263,1231.6333,645.0,1896.0,2146.9236
489.02,1897.0804400000002,1554.46842,1197.7833,792.185522,639.450144,669.4281,1553.0607,1553.2994,1201.7616,633.0,1913.0,2107.3774
491.07,1831.4773,1494.07528,1157.9,758.5412239999999,614.391732,641.4255,1483.7571,1482.0774,1146.8759,588.0,1847.0,2023.3352
493.12,1771.4525999999998,1437.71646,1122.3143,729.100034,589.885016,614.71387,1419.1733,1415.5165,1095.2714,550.0,1674.0,1949.6676
495.18,1703.88096,1376.64596,1083.6643,695.72656,565.2101319999999,590.5024,1351.017,1345.2721,1041.7739,538.0,1679.0,1880.6821
497.22,1678.71208,1354.39846,1061.5524,679.4813379999999,552.0031759999999,586.7794,1321.5879,1312.9296,1016.04535,538.0,1680.0,1875.5006
499.28,1599.9929,1288.19576,1024.5143,644.24197,525.310794,562.20374,1254.8663,1240.3448,960.7894,492.0,1505.0,1811.2793
501.34,1536.39228,1238.1037199999998,981.8881,617.612928,500.65347199999997,544.7555,1205.2941,1179.2781,915.7436,470.0,1491.0,1766.16
503.4,1515.9981,1223.52858,967.72144,608.9409619999999,489.52470999999997,541.04614,1194.1348,1156.7755,900.08887,448.0,1472.0,1761.6903
